x1,y1,x2,y2,Width,Length
90.997766,184.74109,91.800967,185.16631,0.2,0.908814554681536
91.800967,185.16631,93.005766,186.39473,0.2,1.72062672500487
93.005766,186.39473,93.997953,188.28461,0.2,2.13449794035249
93.997953,188.28461,94.517669,189.63115,0.2,1.44335535896605
94.517669,189.63115,95.32087,191.63915,0.2,2.1626825579361
91.021391,181.52827,89.840214,182.11886,0.2,1.32059670355071
89.840214,182.11886,88.540922,183.25279,0.2,1.72451643835713
88.540922,183.25279,87.430617,184.88281,0.2,1.97224298539125
87.430617,184.88281,86.580169,186.39471,0.2,1.73467674530559
86.580169,186.39471,86.013207,187.43415,0.2,1.18401073603411
86.013207,187.43415,85.280877,189.04055,0.2,1.76545410274525
85.280877,189.04055,84.477679,191.21391,0.2,2.31702842382307
91.115884,179.21317,92.556919,179.92187,0.2,1.60587594826779
92.556919,179.92187,93.927082,180.89044,0.2,1.67793757079011
93.927082,180.89044,95.061012,182.30785,0.2,1.8151717144667
95.061012,182.30785,95.816964,183.60714,0.2,1.50320255800874
95.816964,183.60714,96.407551,184.62295,0.2,1.17501615336512
96.407551,184.62295,96.809151,185.59152,0.2,1.04852773206053
96.809151,185.59152,97.47061,187.52864,0.2,2.04693964324329
97.47061,187.52864,97.87221,189.3949,0.2,1.90898112814141
97.87221,189.3949,98.01395,190.95405,0.2,1.56557942950844
91.068638,175.81138,88.871651,176.94531,0.2,2.47235699749631
88.871651,176.94531,87.52511,178.2446,0.2,1.87118336054515
87.52511,178.2446,86.225818,179.78013,0.2,2.01147012957289
86.225818,179.78013,84.335936,182.04799,0.2,2.9520912847546
84.335936,182.04799,82.800409,185.18992,0.2,3.49707982359983
82.800409,185.18992,81.642856,188.87518,0.2,3.86278011481484
91.092262,171.65364,92.62779,172.33873,0.2,1.68142634298503
92.62779,172.33873,94.564918,173.85063,0.2,2.45729658331753
94.564918,173.85063,96.714658,176.42559,0.2,3.35437044304889
96.714658,176.42559,99.242373,180.48884,0.2,4.78532587017071
99.242373,180.48884,100.23456,182.30785,0.2,2.07201168507057
100.23456,182.30785,101.22675,184.81194,0.2,2.69349359089639
101.22675,184.81194,101.72284,187.10342,0.2,2.34456517898309
91.210378,167.5904,89.53311,168.48809,0.2,1.90238673248212
89.53311,168.48809,88.068451,169.5984,0.2,1.83793750774638
88.068451,169.5984,87.135324,170.6024,0.2,1.37067209723149
87.135324,170.6024,85.481678,172.56315,0.2,2.5649728372472
85.481678,172.56315,84.253255,174.05143,0.2,1.92976693549481
84.253255,174.05143,82.820145,176.04383,0.2,2.45427423734594
82.820145,176.04383,81.333458,178.48267,0.2,2.85625257664111
81.333458,178.48267,80.097337,180.73776,0.2,2.57165822665862
80.097337,180.73776,79.161893,183.2267,0.2,2.65892418108078
79.161893,183.2267,78.49372,185.29804,0.2,2.17644309678176
78.49372,185.29804,78.52713,185.26464,0.2,0.047241804580268
91.389474,163.64921,93.193543,164.71829,0.2,2.09704482621641
93.193543,164.71829,95.899646,167.04019,0.2,3.56569951855299
95.899646,167.04019,97.352926,168.59369,0.2,2.12729523301305
97.352926,168.59369,98.422004,170.01356,0.2,1.77734593902932
98.422004,170.01356,99.908689,171.73411,0.2,2.2738787548427
99.908689,171.73411,100.86084,173.00364,0.2,1.58691460000247
100.86084,173.00364,101.59583,174.33999,0.2,1.52513659145665
101.59583,174.33999,102.23059,175.42577,0.2,1.25771159889698
102.23059,175.42577,103.18274,177.11291,0.2,1.93727411640687
103.18274,177.11291,103.71728,178.48267,0.2,1.47036576034674
103.71728,178.48267,104.53579,180.25333,0.2,1.95069102004904
104.53579,180.25333,105.15385,181.99058,0.2,1.84391857903215
105.15385,181.99058,105.63828,183.74453,0.2,1.81961892367606
91.239135,160.5255,91.172315,160.5756,0.2,0.083516000862108
91.172315,160.5756,89.11768,161.69479,0.2,2.3396818671189
89.11768,161.69479,87.380429,163.08125,0.2,2.22268134661742
87.380429,163.08125,85.00841,165.31963,0.2,3.26141367519685
85.00841,165.31963,83.839108,166.60587,0.2,1.73829816337819
83.839108,166.60587,82.085151,168.57698,0.2,2.63849195373968
82.085151,168.57698,80.31449,170.5815,0.2,2.67457301401945
80.31449,170.5815,78.610648,173.35442,0.2,3.2545603216662
78.610648,173.35442,77.157368,175.87678,0.2,2.91106900089984
77.157368,175.87678,76.188517,177.81448,0.2,2.16641490721446
76.188517,177.81448,75.7375,179.35128,0.2,1.60161498940569
75.7375,179.35128,75.470231,180.80456,0.2,1.47765201477243
75.470231,180.80456,75.470231,180.72106,0.2,0.083499999999987
91.356065,154.94624,93.64456,156.49975,0.2,2.7659722856755
93.64456,156.49975,95.916352,158.53768,0.2,3.05191703297517
95.916352,158.53768,97.586786,160.05777,0.2,2.25854452169003
97.586786,160.05777,99.440967,162.0623,0.2,2.73059109015996
99.440967,162.0623,101.4789,164.48443,0.2,3.16542013789466
101.4789,164.48443,103.38319,166.90655,0.2,3.08106892141348
103.38319,166.90655,104.90329,169.36209,0.2,2.88797172797797
104.90329,169.36209,106.74077,172.63615,0.2,3.75443759223668
106.74077,172.63615,107.72632,175.00816,0.2,2.56860667339317
107.72632,175.00816,108.57824,176.57837,0.2,1.78642859652997
91.255838,151.37152,89.668926,152.34037,0.2,1.85929019204749
89.668926,152.34037,87.012935,154.36159,0.2,3.33760669949007
87.012935,154.36159,85.275684,156.16566,0.2,2.50453780205071
85.275684,156.16566,81.517206,160.05777,0.2,5.41060783356029
81.517206,160.05777,78.577241,163.49887,0.2,4.52598756198303
78.577241,163.49887,77.257597,165.26953,0.2,2.20832450566849
77.257597,165.26953,75.486936,168.19279,0.2,3.41770235750877
75.486936,168.19279,74.434561,169.91334,0.2,2.01687516795785
74.434561,169.91334,73.883318,171.26639,0.2,1.4610315354396
73.883318,171.26639,72.764128,173.2375,0.2,2.26668499977391
72.764128,173.2375,71.862094,176.3111,0.2,3.20322997881139
91.472995,146.61077,91.539815,146.67757,0.2,0.094483609160537
91.539815,146.67757,93.677971,148.08074,0.2,2.55745911584837
93.677971,148.08074,95.565561,149.53402,0.2,2.38222978876934
95.565561,149.53402,97.302813,150.95388,0.2,2.24366818649817
97.302813,150.95388,100.22607,153.52635,0.2,3.89397398411303
100.22607,153.52635,101.8798,155.33042,0.2,2.44734375963001
101.8798,155.33042,103.14933,156.75029,0.2,1.90466197468213
103.14933,156.75029,104.58591,158.45414,0.2,2.22864688071035
104.58591,158.45414,105.80532,160.04105,0.2,2.00131059463541
105.80532,160.04105,107.6595,162.71374,0.2,3.25288415233312
107.6595,162.71374,108.71188,164.38418,0.2,1.97430328419928
108.71188,164.38418,109.39676,165.65371,0.2,1.44248640731898
109.39676,165.65371,110.23197,166.95665,0.2,1.54765254101172
110.23197,166.95665,111.21753,168.79412,0.2,2.08509580463345
111.21753,168.79412,111.58503,170.33093,0.2,1.58013962234355
111.58503,170.33093,112.12375,171.54199,0.2,1.32547559841742
112.12375,171.54199,112.37014,172.21852,0.2,0.72000060624976
91.35212,142.59672,90.07645,143.30543,0.2,1.45931621419075
90.07645,143.30543,87.595981,145.12444,0.2,3.07595901144033
87.595981,145.12444,85.918711,146.47098,0.2,2.15090786053238
85.918711,146.47098,84.454054,147.84114,0.2,2.00563170927491
84.454054,147.84114,82.422433,149.77827,0.2,2.80712602576746
82.422433,149.77827,80.343564,151.92801,0.2,2.9904980165118
80.343564,151.92801,78.453683,153.98326,0.2,2.79207857279501
78.453683,153.98326,76.587426,156.18024,0.2,2.88264397913599
76.587426,156.18024,74.862909,158.49535,0.2,2.88681367521166
